sentences1,sentences2,Label
"Última menstruação
A data da última menstruação é dado fundamental para o cálculo da idade gestacional e data 
provável do parto.",A data da última menstruação é crítica para calcular a idade gestacional e a data prevista para o parto.,0.9
"Evite exercícios que tenham risco de queda, bater a barriga ou muito contato físico, como
por exemplo, esportes com bola, saltos, lutas marciais, ciclismo, equitação.","Evite esportes que possam cair, atingir o abdômen ou fazer contato físico excessivo, como jogos com bola, saltos, artes marciais, ciclismo, passeios a cavalo.",0.9
"Comece com 15 minutos/dia de exercício e vá aumentando 5 minutos/dia a cada semana
até no máximo 60 minutos pordia.","Comece com 15 minutos de exercício todos os dias, até 5 minutos de exercício por dia Máximo de 60 minutos por dia.",0.9
"Perceba se você consegue conversar enquanto
caminha ou pratica outro tipo de exercício.",Veja se consegue falar enquanto caminha ou pratica outro exercício.,0.9
"Cuidados ao realizar exercícios
Você deve sentir o bebê mexer todos os dias, principalmente após as refeições.","Tenha cuidado ao fazer exercícios Você deve sentir o bebê se mexer todos os dias, especialmente após as refeições.",0.9
Evite se exercitar em ambientes sem ventilação e quentes.,Evite fazer exercícios em um ambiente de alta temperatura sem ventilação.,0.9
"Faça umarefeição ou lanche leve 30 minutos antes dos exercícios e beba água antes, durante
e após a prática de exercícios.","Coma refeições leves ou lanches 30 minutos antes do exercício e beba água antes, durante e após o exercício.",0.9
"Evite realizar exercícios, por muito tempo, deitada de barriga para cima partir do 4º mês de
gestação.","Evite exercícios de longa duração, comece a deitar de costas a partir do 4º mês após o exercício Gravidez.",0.9
"Interrompa os exercícios se sentir algum dos sintomas abaixo:
Sangramento vaginal Redução dos movimentos fetais
Dor no abdome ou no peito Dor ou sensação de ardência ao urinar
Perda delíquido pela vagina Febre
Inchaço repentino nas mãos,face ou pés Náuseas ou vômitos persistentes
Dor de cabeça forte e persistente Contraçõesuterinas frequentes
Palpitações Sensação de falta de ar
Tontura ou sensação de luzes piscando
Em caso de dúvidas, procure seu médico!","Se você sentir algum dos seguintes sintomas, pare de se exercitar: Movimento fetal reduzido por sangramento vaginal Dor no abdômen ou no peito Dor ou sensação de queimação ao urinar Perda de água pela vagina febre Inchaço repentino das mãos, rosto ou pés Náuseas ou vômitos constantes Contrações uterinas frequentes com cefaleia severa e persistente Heart Pal Sensação de falta de ar Tontura ou sensação de lampejo Em caso de dúvida, consulte um médico!",0.9
A prática de exercício físico ajudará você a ter uma gestação tranquila e saudável!,O exercício físico irá ajudá lo a engravidar em paz!,0.9
"Exercícios Perineais
Durante e após a gestação é muito importante fortalecer os músculos da região perineal, o assoalho pélvico.","Exercício perineal durante e após a gravidez, é muito importante fortalecer os músculos do períneo e do assoalho pélvico.",0.9
"Essa musculatura participa da sustentação dos órgãos da pelve (útero, bexiga, intestino) e a manter as
funçõesurinária e fecal, além de participar da função sexual e permitir a passagem do bebê no momento do
parto.","Além de participar da função sexual e permitir a passagem do bebê durante o parto, esse tecido muscular também está envolvido no suporte dos órgãos pélvicos (útero, bexiga, intestino) e na manutenção da função da urina e das fezes.",0.9
"Um bom controle do assoalho pélvico previne a perda de urina aos esforços (tosse, espirro,
agachamento) durante e após agestação.","Um bom controle do assoalho pélvico evita a perda de urina devido à fadiga (tosse, espirros, agachamento) durante e após a gravidez.",0.9
"Como fazer os exercícios perineais:
Contraia a vagina e o ânus, como se estivesse puxando os para dentro e para cima do seu corpo.",Como realizar exercícios perineais: Contraia a vagina e o ânus como se os puxasse para dentro do corpo.,0.9
"Tente manter essa contração inicialmente por 3 segundos e em seguida solte os músculos devagar, até que esteja totalmente relaxada.","Primeiro, tente manter essa contração por 3 segundos e, em seguida, libere lentamente o músculo até que esteja completamente relaxado.",0.9
"Depois que estiver treinada, você pode manter a contração
por até 10 segundos.","Após o treinamento, você pode continuar a contrair por até 10 segundos.",0.9
"Recomendações nutricionais:
Manter a dieta equilibrada é fundamental para a manutenção de um bom estado nutricional, para o retorno do peso corporal, bom funcionamento intestinal e uma adequada produção deleite.","Conselhos sobre nutrição: Manter uma dieta equilibrada é essencial para manter uma boa dieta Estado nutricional, recuperação de peso, boa função Intestinos e bastante alegria são produzidos.",0.9
"Beba líquidos em abundância, principalmente leite, suco de frutas e água,
pois a amamentação dá muita sede.","Como a amamentação dá muita sede, beba muito líquido, principalmente leite, suco e água”.",0.9
